year	clipa	grid	dev_desc	species	strainname	nostocked	yreq	events
2002	0	0528	Fingerling	walleye	Wild	90000	36000	1
2002	0	0729	Fingerling	walleye	Wild	25000	10000	1
2002	0	0744	Fingerling	walleye	Wild	5000	2000	1
2002	0	0925	Fry	lake trout	Michipicoten	918188	18364	2
2002	0	1551	Fingerling	walleye	Moon River	67	27	1
2002	0	1736	Yearling	brown trout	Ganaraska River	6000	6000	2
2002	0	1835	Yearling	brown trout	Ganaraska River	7200	7200	3
2002	0	1937	Fingerling	brown trout	Ganaraska River	24600	9840	1
2002	0	1937	Fingerling	rainbow trout	Unknown	10025	4010	1
2002	0	2040	Fingerling	brown trout	Ganaraska River	61788	24715	1
2002	0	2135	Fry	rainbow trout	Wild	10000	200	1
2002	0	2135	Yearling	brown trout	Ganaraska River	9400	9400	5
2002	0	2139	Yearling	brown trout	Ganaraska River	20604	20604	1
2002	0	2143	Yearling	brown trout	Ganaraska River	13914	13914	1
2002	0	2234	Fingerling	rainbow trout	Wild	10000	4000	1
2002	0	2234	Fry	rainbow trout	Wild	110000	2200	11
2002	0	2234	Yearling	brown trout	Ganaraska River	15000	15000	5
2002	0	2245	Yearling	brown trout	Ganaraska River	15860	15860	1
2002	0	2247	Yearling	brown trout	Ganaraska River	10540	10540	2
2002	0	2248	Yearling	brown trout	Ganaraska River	4760	4760	1
2002	0	2432	Juvenile	brown trout	Ganaraska River	3000	3000	1
2002	0	2432	Yearling	brown trout	Ganaraska River	35159	35159	14
2002	0	2531	Yearling	brown trout	Ganaraska River	16723	16723	7
2002	0	2631	Sub-adult	rainbow trout	Wild	25	25	1
2002	0	2631	Yearling	brown trout	Ganaraska River	15000	15000	5
2002	0	2631	Yearling	rainbow trout	Wild	600	600	1
2002	0	2730	Yearling	brown trout	Ganaraska River	3000	3000	1
2002	0	2829	Yearling	brown trout	Ganaraska River	15651	15651	9
2002	0	3030	Fingerling	rainbow trout	Wild	25000	10000	4
2002	0	3030	Fry	rainbow trout	Wild	25000	500	1
2002	0	3230	Fry	rainbow trout	Wild	122000	2440	11
